NQR QUALIFICATIONS SUMMARY SHEET,,,,Downloaded on: 17-09-2026 06:36:58,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
S No.,Title,Code,Description,Sector Name,Level,Maximum Notational Hours,Minimum Notational Hours,Version,Originally Approved,Valid Till,Awarding Body,Certifying Bodies,Proposed Occupation,Progression Pathway,Qualifcation Type,Adopted Qualifcation,Training Delivery Hours,,
1,Line Patrolling Man (Oil  Gas),2020/HYC/HSSCI/3770,"The primary role of Line Patrolling Man (Oil &Gas) is patrolling the pipeline and other installations in the assigned area for ensuring security of hydrocarbon pipeline. The person is also responsible for safeguarding the area from theft, criminal acts, emergencies and other contingencies.",Hydrocarbon,Level 3,330 Hours,330 Hours,Version ,17 Nov 2022,16 Nov 2025,Hydrocarbon Sector Skill Council (HSSCI),Hydrocarbon Sector Skill Council,Pipeline Maintenance,Senior Line Patrolling Man,General Qualification,N.A.,"{""Theory"":""90"",""Practical"":""150"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""30""}",,
2,Process Instrument Technician (Oil & Gas),2020/HYC/HSSCI/3769,"The individual in this position is responsible for monitoring and operation of instruments and control equipment installed at oil and gas setup like gas processing plants, oil refineries, fertilizer plants, chemical process plants, gas/oil pipelines, compressor stations etc. The person monitors, adjusts and maintains processing units and equipment in field as well as in control room in calibration and installation in accordance with approved procedures.",Hydrocarbon,Level 4,480 Hours,480 Hours,Version ,29 Sep 2023,28 Sep 2026,Hydrocarbon Sector Skill Council (HSSCI),Hydrocarbon Sector Skill Council,"Operations - Oil & Gas Pipeline, Calibration and Instrumentation, Refineries Operations","Vertical Progression - Level 4.5: Senior Process Instrumentation Technician,
Horizontal Progression – Level 4: Refinery Production Technician (O&M)",General Qualification,N.A.,"{""Theory"":""105"",""Practical"":""285"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""60""}",,
3,Excavator-Pipeline,2020/HYC/HSSCI/3612,"The individual in this job is responsible for manual excavation work involved in laying oil and gas pipeline and earth backfilling in accordance with safe working practices, plans and approvals. The individual will also check and identify hazard prone areas before starting excavation work for minimising the possible hazards to people and the surrounding environment due to excavation work.",Hydrocarbon,Level 2,240 Hours,240 Hours,Version ,17 Nov 2022,16 Nov 2025,Hydrocarbon Sector Skill Council (HSSCI),Hydrocarbon Sector Skill Council,Operations-Oil & Gas pipeline,Helper-Hydrocarbon Pipeline,General Qualification,N.A.,"{""Theory"":""60"",""Practical"":""120"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""30""}",,
4,Fire Safety Technician (Oil & Gas),2020/HYC/HSSCI/3611,The main responsibility of the fire safety technician is to ensure adherence to fire safety procedures and conduct firefighting operations in oil and gas industry. He/she conducts inspection of the workplace to ensure safety from fire hazards. The individual is also responsible for maintenance of fire safety equipment and coordination with operation and maintenance team for organising safety awareness programs to ensure the safety of the workers and surrounding,Hydrocarbon,Level 4,450 Hours,450 Hours,Version ,17 Nov 2022,16 Nov 2025,Hydrocarbon Sector Skill Council (HSSCI),Hydrocarbon Sector Skill Council,"Management of Health, Safety and Environment (HSE)",Senior Fire Safety Technician,General Qualification,N.A.,"{""Theory"":""120"",""Practical"":""240"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""30""}",,
5,Hindi Typist,2020/OAFM/MEPSC/03792,"The Hindi Typist, is responsible for formatting and typing various types of documents in Hindi with speed and accuracy. The individual types letters, reports, forms, correspondence, policies, tabular statements, or other documents from rough drafts, handwritten copies, dictated notes, or voice recordings using word processing software or typewriter. The individual also checks documents for errors in spelling, grammar, punctuation and format, and corrects identified errors. The main purpose of the qualification and the target learners is to get unemployed people into work and to upgrade the skills of people already in work.",Oﬃce Administration & Facility Management,Level 4,450 Hours,390 Hours,Version ,17 Nov 2022,17 Nov 2025,Management & Entrepreneurship and Professional Skills Council (MEPSC),Management Entrepreneurship and Professional Skills Council (MEPSC),Office Support,Multi-functional Office Executive,General Qualification,N.A.,"{""Theory"":""150"",""Practical"":""180"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""0""}",,
6,Certificate Course in Coding Skills,2020/ITES/ASAP/03802,"Individuals at this job are responsible for developing applications and platforms in any language in order to build a robust hack free system. They will be responsible for evaluating the technical performance of algorithmic models on the system on which it is being deployed. They will be responsible for developing, designing, building, testing and deploying programming solutions.",IT-ITeS,Level 5,270 Hours,270 Hours,Version ,25 Jun 2020,01 Mar 2026,"Additional Skill Acquisition Programme, Government of Kerala","Additional Skill Acquisition Programme, Government of Kerala.",Software Engineer /Project Engineer,"VERTICAL PROGRESSION 
Engineer Trainee, Project Engineer,  Module Lead, Development Manager 

HORIZONTAL PROGRESSION 
Trainee Coder , Programming Research , Consultant/Entrepreneur","Future Skills Qualification,General Qualification",N.A.,"{""Theory"":""36"",""Practical"":""204"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""0""}",,
7,Transit and Self-Loading Mixer Operator,2020/CON/IESC/3881,"Transit and Self-Loading Mixer operator drives and controls the mixer operations safely and as per
schedule. He is responsible for loading the required quantity of aggregates, sand and cement as per
the mix design into the drum and discharge the concrete to the desired location at the site after
mixing the batched aggregates.",Infrastructure,Level 4,390 Hours,390 Hours,Version ,17 Oct 2019,17 Oct 2022,Infrastructure Equipment Sector Skill Council,Infrastructure Equipment Sector Council,Transit and Self-Loading Mixer Operator,Senior Transit and Self-Loading mixer operator,General Qualification,N.A.,"{""Theory"":""90"",""Practical"":""150"",""EmployabilitySkills"":""0"",""OJT_Mandatory"":""150""}",,
8,SS (Stainless Steel) Tubing Technician,2020/HYC/HSSCI/03997,"The individual in this job is responsible for the installation and maintenance of stainless-steel tubes (SS tubes) at CNG filling stations, oil and gas facilities in accordance with approved procedures and guidelines.",Hydrocarbon,Level 4,480 Hours,480 Hours,Version ,17 Nov 2022,16 Nov 2026,Hydrocarbon Sector Skill Council (HSSCI),Hydrocarbon Sector Skill Council,Operations - Oil and Gas pipeline,Senior Technician SS (Stainless Steel) Tubing,General Qualification,N.A.,"{""Theory"":""120"",""Practical"":""240"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""60""}",,
9,Gas Meter Reader,2021/HYC/HSSCI/04095,"Gas Meter Reader is responsible to capture gas consumption reading from gas meters installed in consumer’s premises for generation of gas consumption bill. The individual is also responsible for physical inspection of gas meter for any external damage, tampering and similar faults. The person is required to maintain complete record of each visit to consumer premises and their request or any operational queries. They act as the first level of support staff between consumer and gas distribution company.",Hydrocarbon,Level 3,330 Hours,330 Hours,Version ,17 Nov 2022,16 Nov 2025,Hydrocarbon Sector Skill Council (HSSCI),Hydrocarbon Sector Skill Council,Marketing Services,Gas Meter Reader – Supervisor,General Qualification,N.A.,"{""Theory"":""90"",""Practical"":""150"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""30""}",,
10,Pipeline Maintenance Technician (Mechanical),2021/HYC/HSSCI/04096,"The Pipeline Maintenance Technician (Mechanical) is responsible for installation, troubleshooting, repair, preventive maintenance and checking proper functioning of all types of mechanical equipment such as engines, electric motors, pumps, valves, pressure relief devices and related equipment typically associated with oil & gas operations facility and pipelines. The individual is also responsible to maintain records. The person plays a vital role in ensuring that plant and equipment used are in a safe condition and meets safety and technical standards.",Hydrocarbon,Level 4,660 Hours,660 Hours,Version ,17 Nov 2022,16 Nov 2025,Hydrocarbon Sector Skill Council (HSSCI),Hydrocarbon Sector Skill Council,Pipeline Maintenance,Senior Pipeline Maintenance Technician (Mechanical),General Qualification,N.A.,"{""Theory"":""180"",""Practical"":""390"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""30""}",,
11,AI – Data Quality Analyst,2020/ITES/ITSSC/04331,"Individuals at this job are responsible for importing data (public / private, consumer / enterprise) from various internal and external sources. They are responsible for preprocessing the data to meet the desired quality standards or as desired for analysis. They need to have good communication skills to work with stakeholders across multiple teams such as data sciences, product development, etc.",IT-ITeS,Level 5,480 Hours,480 Hours,Version ,19 Dec 2018,22 Sep 2025,IT-ITeS Sector Skills Council NASSCOM (SSC NASSCOM),IT-ITeS SSC NASSCOM,Artificial Intelligence and Big Data Analytics,"Senior Data Quality Analyst, Senior Business Intelligence Analyst, Senior Visualization Specialist",Upskilling Qualification,N.A.,"{""Theory"":""120"",""Practical"":""210"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""90""}",,
12,Automotive Assembly Assistant,2021/AUT/ASDC/04333,"The individual in this role supports the Automotive Assembly Operator during preparation for assembly work such as bringing auto components and tools, assembling activities such as equipment setup, holding tools etc. and post-assembly activities such as cleaning and maintenance of equipment and work area.",Automotive,Level 2,256 Hours,256 Hours,Version ,29 Jul 2021,29 Jul 2026,Automotive Skills Development Council (ASDC),Automotive Skills Development Council,Assembly Operation,"Automotive Assembly Operator, Automotive Assembly Technician, Assembly Lead Technician, Assembly Master Technician",General Qualification,N.A.,"{""Theory"":""100"",""Practical"":""156"",""EmployabilitySkills"":""0"",""OJT_Mandatory"":""0""}",,
13,Automotive Forging Technician,2021/AUT/ASDC/04346,The individual is involved in operating the forging process apparatus and performing various forging andpost-forging activities.,Automotive,Level 4,400 Hours,400 Hours,Version ,29 Jul 2021,29 Jul 2026,Automotive Skills Development Council (ASDC),Automotive Skills Development Council,Forging Operation,Automotive Forging Lead Technician,General Qualification,N.A.,"{""Theory"":""140"",""Practical"":""260"",""EmployabilitySkills"":""0"",""OJT_Mandatory"":""0""}",,
14,Automotive Machining Master Technician,2021/AUT/ASDC/04340,"The individual is primarily involved in various machining and new product development processes onCNC/conventional machines such as writing and modifying CNC program, quality verification, resetting ofthe tools, machine PPAP process, six sigma capability study etc.",Automotive,Level 6,560 Hours,560 Hours,Version ,29 Jul 2021,29 Jul 2026,Automotive Skills Development Council (ASDC),Automotive Skills Development Council,Machining Operation,Automotive Production Manager,General Qualification,N.A.,"{""Theory"":""208"",""Practical"":""352"",""EmployabilitySkills"":""0"",""OJT_Mandatory"":""0""}",,
15,Automotive Maintenance Lead Technician-Electrical,2021/AUT/ASDC/04351,The individual in this job plan and perform maintenance of the electrical and electronic systems of equipment,Automotive,Level 5,504 Hours,504 Hours,Version ,29 Jul 2021,29 Jul 2026,Automotive Skills Development Council (ASDC),Automotive Skills Development Council,Plant and Equipment Maintenance,Automotive Maintenance Master Technician- Mechanical and Electrical,General Qualification,N.A.,"{""Theory"":""184"",""Practical"":""320"",""EmployabilitySkills"":""0"",""OJT_Mandatory"":""0""}",,
16,Automotive Maintenance Lead Technician-Mechanical,2021/AUT/ASDC/04352,The individual in this job plan and perform maintenance of the mechanical parts (including hydraulic &pneumatic parts) of equipment.,Automotive,Level 5,504 Hours,504 Hours,Version ,29 Jul 2021,29 Jul 2026,Automotive Skills Development Council (ASDC),Automotive Skills Development Council,Plant and Equipment Maintenance,"Maintenance Master Technician, Automation Specialist",General Qualification,N.A.,"{""Theory"":""184"",""Practical"":""320"",""EmployabilitySkills"":""0"",""OJT_Mandatory"":""0""}",,
17,Automotive Body Painting Operator,2021/AUT/ASDC/04344,"The individual in this role supports the painting technician in pre-treatment and body preparation processes, painting activities such as mixing of paint, applying paint etc. and post-painting activities such as quality check, maintenance, storing and tagging etc.",Automotive,Level 3,304 Hours,304 Hours,Version ,29 Jul 2021,29 Jul 2026,Automotive Skills Development Council (ASDC),Automotive Skills Development Council,Painting & Surface Treatment Operation,"Painting technician, Painting lead technician, Painting  master Technician",General Qualification,N.A.,"{""Theory"":""112"",""Practical"":""192"",""EmployabilitySkills"":""0"",""OJT_Mandatory"":""0""}",,
18,Automotive Welding Machine Master Technician,2021/AUT/ASDC/04337,"The individual is primarily involved in various welding and new product development processes such aswriting program for robotic welding, quality check, creating process sheet, etc.",Automotive,Level 6,560 Hours,560 Hours,Version ,29 Jul 2021,29 Jul 2026,Automotive Skills Development Council (ASDC),Automotive Skills Development Council,Metal Joining,Automotive Production Manager,General Qualification,N.A.,"{""Theory"":""208"",""Practical"":""352"",""EmployabilitySkills"":""0"",""OJT_Mandatory"":""0""}",,
19,Automotive Material Handling Assistant,2021/AUT/ASDC/04347,"The individuals at this job perform loading and unloading of raw material, different vehicles, parts, assemblies, components etc. and transfer them to the stores and transport vehicles based on the requirement.",Automotive,Level 2,256 Hours,256 Hours,Version ,29 Jul 2021,29 Jul 2026,Automotive Skills Development Council (ASDC),Automotive Skills Development Council,Supply Chain Management,Automotive Material Stores Operator,General Qualification,N.A.,"{""Theory"":""100"",""Practical"":""156"",""EmployabilitySkills"":""0"",""OJT_Mandatory"":""0""}",,
20,Automotive Production Equipment Design Engineer,2021/AUT/ASDC/04350,"The individual at this job is responsible for design details of the equipment- mechanism, fixtures, tools,
gauges and other instruments for manufacturing & measuring the quality standards of the production
process.
1.	Design fixtures, workstation and their mechanisms
2.	Release the drawings and manage the documentation for engineering change
3.	Select and operate 3D Printing machine for product generation
4.	Manage work and resources (Manufacturing)
5.	Interact effectively with team, customers and others",Automotive,Level 6,504 Hours,504 Hours,Version ,29 Jul 2021,29 Jul 2026,Automotive Skills Development Council (ASDC),Automotive Skills Development Council,Assembly,"Automotive Production Equipment, Design Manager",General Qualification,N.A.,"{""Theory"":""202"",""Practical"":""302"",""EmployabilitySkills"":""0"",""OJT_Mandatory"":""0""}",,
