state,centre_name,address,email,phone,courses_offered,pincode,district,subdistrict,mappls_eloc,geocode_level
andhra pradesh,A J K Industrial Training Centre,Rajupeta Machilipatanam,ajkiti.mtm@gmail.com,9949411969,MECHANIC DIESEL (NSQF) | FITTER (NSQF) | ELECTRONICS MECHANIC (NSQF),522006,Guntur District,Guntur,GCWVOK,state
andhra pradesh,A Raja Reddy Memorial Industrail Training Centre,"F-4, Industrial Estate Chittoor",reubanjayakumar@gmail.com,8790168898,ELECTRICIAN (NSQF) | MECHANIC (MOTOR VEHICLE) (NSQF) | FITTER (NSQF),517001,Chittoor District,Chittoor Urban,SJ4226,houseNumber
andhra pradesh,A.S.D. GOVERNMENT DEGREE COLLEGE FOR WOMEN (AUTONOMOUS),OPP. STATE INSTITUTE OF FISHERIES TECHNOLOGY JAGANNAICKPUR KAKINADA,v.mallikarjunasarma@gmail.com,8341546804,ASSOCIATE DATA ENTRY OPERATOR | ASSOCIATE DATA ENTRY OPERATOR | SELF EMPLOYED TAILOR | SELF EMPLOYED TAILOR | SELF EMPLOYED TAILOR | SELF EMPLOYED TAILOR | ASSOCIATE DESKTOP PUBLISHING,533002,Kakinada District,Kakinada Urban,LBWGUU,landmark
andhra pradesh,A.V.R Memorial ITC,Pamarru Krishna,avrmiti@gmail.com,7207511161,ELECTRICIAN (NSQF) | DRAUGHTSMAN (CIVIL) (NSQF) | FITTER (NSQF),521157,Krishna District,Pamarru,35N6Y8,subDistrict
andhra pradesh,"Adi Pvt. Industial Training Institute, Complex Ba","Verma Complex, Near Sreenivasa Oil Mill, Peddapadu",adiitiknl@gmail.com,9948268565,MECHANIC DIESEL (NSQF) | DRAUGHTSMAN (CIVIL) (NSQF) | ELECTRICIAN (NSQF),516360,YSR Kadapa District,Proddatur,S325E6,landmark
andhra pradesh,Alluri Satyanarayana Raju (ASR ITC) Industrial Training Centre,Ullamparru Ullamparru,avvprasad69@gmail.com,9908199599,WIREMAN (NSQF) | ELECTRICIAN (NSQF) | MECHANIC DIESEL (NSQF) | FITTER (NSQF) | PLUMBER (NSQF),534260,West Godavari District,Palacole,UN05NV,state
andhra pradesh,"Ambica Pvt.ITI., Kasibugga","Ambica Pvt.ITI., Kasibugga",ambicaprivateiti@gmail.com,9182746303,FITTER (NSQF) | ELECTRICIAN (NSQF),532222,Srikakulam District,Palasa,UFV4S9,state
andhra pradesh,"Andhra Kesari Industrial Training Centre, Ongole",Bhagyanagar Ongole,akitc2199@gmail.com,9908223667,FITTER (NSQF) | MECHANIC DIESEL (NSQF) | ELECTRICIAN (NSQF),523001,Prakasam District,Ongole Urban,0KX6OH,locality
andhra pradesh,Arsha Bharti Educational Society ITC,Bhemmunipatanam,abesiti@gmail.com,9849672054,FITTER (NSQF) | WELDER (NSQF) | DRAUGHTSMAN (CIVIL) (NSQF) | MECHANIC DIESEL (NSQF),531163,Visakhapatnam District,Anandapuram,MSQEZ0,poi
andhra pradesh,Balaji ITC,Madhupada Gajapathinagan,balajee.edu@gmail.com,7731900353,FITTER (NSQF) | ELECTRICIAN (NSQF),535270,Vizianagaram District,Gajapathinagaram,413S41,village
andhra pradesh,"Bandaru Rangaiah Yadav Memorial Private ITI, Racherla","Racherla (P&amp;amp; M),",brymitiracherla@gmail.com,7036205814,FITTER (NSQF) | ELECTRICIAN (NSQF),523368,Markapuram District,Racherla,82SB7S,village
andhra pradesh,"Basavatarakam Industrial Training Centre, Kanigiri",Kanigiri,sbtmitckng@gmail.com,9951791536,FITTER (NSQF) | MECHANIC (MOTOR VEHICLE) (NSQF) | ELECTRICIAN (NSQF),523230,Markapuram District,Kanigiri,D1WLKP,subDistrict
andhra pradesh,Batchala Nagamma Memorial Industrial Training Centre,Saikuteer Road Proddatur Holmespet,bnmitcpdtr@gmail.com,9985283715,FITTER (NSQF) | DRAUGHTSMAN (CIVIL) (NSQF) | MECHANIC DIESEL (NSQF) | ELECTRICIAN (NSQF) | MECHANIC (MOTOR VEHICLE) (NSQF),516360,YSR Kadapa District,Proddatur,XZNZE8,locality
andhra pradesh,Beejapuri Dairy Pvt. Ltd.-Chittoor,Gandharamakulapalle Vill.- Kongatam Post V. Kota Mandal Venkatagirikota Chittoor Andhra Pradesh,vikaskumar@countrydelight.in,8504916821,FOOD PRODUCT HANDLER,517424,Chittoor District,Venkatagirikota,FD3AT1,village
andhra pradesh,BEHARA PRIVATE ITI,"KOTYADA VILL, LAKKAVARAPUKOTA MANDAL VIZIANGARAM DIST",beharatrust@gmail.com,9640667777,DRAUGHTSMAN (CIVIL) (NSQF) | ELECTRICIAN (NSQF) | FITTER (NSQF) | FIRE TECHNOLOGY AND INDUSTRIAL SAFETY MANAGEMENT (NSQF),535161,Vizianagaram District,Lakkavarapukota,AAFF4S,village
andhra pradesh,Behara Pvt ITI,"57th ward,Narava,Visakhapattnam",principal.behara328@gmail.com,9492524242,MECHANIC DIESEL (NSQF) | FITTER (NSQF) | SHEET METAL WORKER (NSQF) | WELDER (NSQF) | ELECTRICIAN (NSQF),530027,Visakhapatnam District,Pendurthi,HPC9KW,locality
andhra pradesh,Bhairavi Private ITI,"Haripuram Vill, Mandasa Mandal, Srikakulam Dt., An",bhairaviiti@gmail.com,9866647238,ELECTRICIAN (NSQF) | FITTER (NSQF) | EARLY CHILDHOOD EDUCATOR(NSQF),532243,Srikakulam District,Mandasa,SF18BF,village
andhra pradesh,Bharat Industrial Training Centre,"4-246, Bharat Nagar, Kurmannapalem, Vadlapudi Post",bharatitcvizag@gmail.com,9441969712,ELECTRICIAN (NSQF) | DRAUGHTSMAN (CIVIL) (NSQF) | WELDER (NSQF) | PLUMBER (NSQF) | FITTER (NSQF) | MECHANIC DIESEL (NSQF),530046,Visakhapatnam District,Gajuwaka,T6F8F4,poi
andhra pradesh,"Bharat Industrial Training Centre,Nidubrolu",Nidubrolu-Pennuru Pennur,prasannay@rocketmail.com,9440751721,ELECTRONICS MECHANIC (NSQF) | FITTER (NSQF) | ELECTRICIAN (NSQF) | MECHANIC DIESEL (NSQF),522124,Guntur District,Ponnur,UJ9N1Q,locality
andhra pradesh,Bharat Ratna Industrial Training Centre,"Near Old Dairy Farm,, Visakhapatnam",bharataratnaitc@gmail.com,9885364515,DRAUGHTSMAN (CIVIL) (NSQF) | WELDER (NSQF) | ELECTRICIAN (NSQF) | DRAUGHTSMAN (MECHANICAL) (NSQF) | FITTER (NSQF),530043,Visakhapatnam District,Visakhapatnam Rural,IHCJHL,poi
andhra pradesh,Bharath Industrial Training Centre,"RAYADURG,",bharathitirdg@gmail.com,9440777299,ELECTRICIAN (NSQF) | MECHANIC DIESEL (NSQF),515865,Ananthapuramu District,Rayadurg,3RERMM,city
andhra pradesh,Bharathi Industrial Training Centre,3rd Ward Palalconda Road Baloga Junction,bharathipvtiti@gmail.com,9440492098,FITTER (NSQF) | ELECTRICIAN (NSQF) | MECHANIC DIESEL (NSQF),532001,Srikakulam District,Srikakulam,45QQUR,state
andhra pradesh,Bhavani Industrial Training Centre,S. Kota,ryk.bhavaniiti@gmail.com,9866568783,ELECTRONICS MECHANIC (NSQF) | FITTER (NSQF) | MECHANIC DIESEL (NSQF) | WELDER (NSQF) | ELECTRICIAN (NSQF),532001,Srikakulam District,Srikakulam,G2GJ4R,state
andhra pradesh,Bhavani ITC,"Main Road, Kanchill",bhavaniiti.k@gmail.com,9440131460,FITTER (NSQF) | ELECTRICIAN (NSQF),520012,NTR District,Vijayawada Urban,M36EEZ,state
andhra pradesh,Care Hospitals Ramnagar,AS raja Complex 10-50-11/5 Waltair Main Road Ramnagar Visakhapatnam,shivam.gupta@kedman.in,8448114694,GERIATRIC CAREGIVER (INSTITUTIONAL & HOME CARE) | HEALTHCARE HYGIENE AND HOUSEKEEPING AIDE,530002,Visakhapatnam District,Maharanipeta,CJ74KP,houseNumber
andhra pradesh,Central Institute of Fisheries Nautical Engg. Training Unit,Beach Road,vijaya.ethirajalu@gmail.com,9543295787,VESSEL NAVIGATOR (NSQF) | MARINE FITTER (NSQF),530001,Visakhapatnam District,Maharanipeta,HFN1RW,street
andhra pradesh,Central Tribal University Andhra Pradesh Vizianagaram,Central Tribal University of Andhra Pradesh AU PG Centre Kondakarakam Village Cantonment Area,appasaba.lv@ctuap.ac.in,9986720707,TRANSPORT CONSOLIDATOR | TRANSPORT CONSOLIDATOR | TRANSPORT CONSOLIDATOR | TRANSPORT CONSOLIDATOR,535003,Vizianagaram District,Vizianagaram Rural,F9R8G4,poi
andhra pradesh,Centre of Excellence in Maritime and Shipbuilding - Vizag,Opp. HSL Complex Gandhigram Visakhapatnam,venkat.nellipudi@cemsindia.org,8885585522,INVENTORY CONTROLLER,530014,Visakhapatnam District,Maharanipeta,008SPA,locality
andhra pradesh,"Chandra Subha Private ITI,","Khojjillipet Machilipatnam,",chandrasubhaiti@gmail.com,9010108462,ELECTRICIAN (NSQF) | MECHANIC AUTO ELECTRICAL AND ELECTRONICS (NSQF),521001,Krishna District,Machilipatnam South,382FAB,poi
andhra pradesh,Charith Private ITI,26-1-1054 opp:krishna mandiram NGO’S Colony,charithitc952@gmail.com,9000122136,ELECTRICIAN (NSQF) | DRAUGHTSMAN (CIVIL) (NSQF) | FITTER (NSQF),521301,Krishna District,Gudivada,0P490V,district
andhra pradesh,CHEBROLU ENGINEERING COLLEGE,NEAR POWER STATION CHEBROLU,venkateswarlu@chec.ac.in,9951222248,JUNIOR SOFTWARE DEVELOPER | JUNIOR SOFTWARE DEVELOPER | JUNIOR SOFTWARE DEVELOPER | JUNIOR SOFTWARE DEVELOPER,522212,Guntur District,Chebrolu,7C0TPQ,poi
andhra pradesh,Chirala Engineering College,Ramapuram Beach Road Prakasam,kotiengg@gmail.com,9963502023,MASON CONCRETE | MASON CONCRETE | ASSISTANT MECHANIC - BEARING MAINTENANCE | JUNIOR SOFTWARE DEVELOPER | ASSISTANT MECHANIC - BEARING MAINTENANCE | ASSISTANT MECHANIC - BEARING MAINTENANCE | JUNIOR SOFTWARE DEVELOPER | ASSISTANT MECHANIC - BEARING MAINTENANCE | ELECTRICIAN | MASON CONCRETE | MAINTENANCE TECHNICIAN | JUNIOR SOFTWARE DEVELOPER | JUNIOR SOFTWARE DEVELOPER | ELECTRICIAN | MASON CONCRETE | JUNIOR SOFTWARE DEVELOPER | MASON CONCRETE | JUNIOR SOFTWARE DEVELOPER | JUNIOR SOFTWARE DEVELOPER | MASON CONCRETE | MASON CONCRETE | MAINTENANCE TECHNICIAN | MAINTENANCE TECHNICIAN | MAINTENANCE TECHNICIAN | MAINTENANCE TECHNICIAN | JUNIOR SOFTWARE DEVELOPER | MAINTENANCE TECHNICIAN | MAINTENANCE TECHNICIAN | MAINTENANCE TECHNICIAN | ASSISTANT MECHANIC - BEARING MAINTENANCE | ASSISTANT MECHANIC - BEARING MAINTENANCE | MASON CONCRETE | ASSISTANT MECHANIC - BEARING MAINTENANCE | ASSISTANT MECHANIC - BEARING MAINTENANCE,523157,Bapatla District,Chirala,9GYM6L,city
andhra pradesh,Christ Dogga ITC,"George Town, Kottavalasa (mandal)",j555.777p@gmail.com,9989030927,ELECTRICIAN (NSQF) | FITTER (NSQF) | WELDER (NSQF),532462,Parvathipuram Manyam District,Palakonda,06UE5F,village
andhra pradesh,CITUAP-Vizianagaram,NAC training center Tribal Skill Center Near Central Tribal University Kondakarakam (Vill),pulidindikrishna@gmail.com,9948127818,ASSISTANT PLUMBER - GENERAL | ASSISTANT PLUMBER - GENERAL | ASSISTANT PLUMBER - GENERAL | ASSISTANT PLUMBER - GENERAL | SURVEYOR AIDE | SURVEYOR AIDE,535003,Vizianagaram District,Vizianagaram Rural,24EA8D,village
