state,centre_name,address,email,phone,courses_offered
andhra pradesh,Vignanabharathi private ITI,"Nandyala cumbum highway road,Giddalur(viilage),Pra",vignanabharathi.pvt.itigiddalur@gmail.com,9440320336,DRAUGHTSMAN (CIVIL) (NSQF) | FITTER (NSQF) | LABORATORY ASSISTANT (CHEMICAL PLANT) (NSQF) | ELECTRICIAN (NSQF)
andhra pradesh,DON BOSCO PRIVATE ITI,"D/no 1-274(14), Post Box No - 61, Near Srinivasa",chinnamariadas@gmail.com,9490633542,DRAUGHTSMAN (CIVIL) (NSQF) | FITTER (NSQF) | ELECTRICIAN (NSQF) | SEWING TECHNOLOGY (NSQF)
andhra pradesh,St. Alloysis Industrial Training Centre,S. R. M. T. Road Auto Nagar,saiti1980@gmail.com,7396791980,ELECTRICIAN (NSQF) | MECHANIC (MOTOR VEHICLE) (NSQF) | MECHANIC DIESEL (NSQF) | WELDER (NSQF) | FITTER (NSQF) | TURNER (NSQF)
andhra pradesh,Kakatiya Industrial Training Centre,"B.C.Road,Gajuwaka",kakatiyaitivizag@gmail.com,9542060060,WELDER (NSQF) | ELECTRICIAN (NSQF) | DRAUGHTSMAN (CIVIL) (NSQF) | FITTER (NSQF) | MECHANIC DIESEL (NSQF) | DRAUGHTSMAN (MECHANICAL) (NSQF)
andhra pradesh,Bharat Ratna Industrial Training Centre,"Near Old Dairy Farm,, Visakhapatnam",bharataratnaitc@gmail.com,9885364515,DRAUGHTSMAN (CIVIL) (NSQF) | WELDER (NSQF) | ELECTRICIAN (NSQF) | DRAUGHTSMAN (MECHANICAL) (NSQF) | FITTER (NSQF)
andhra pradesh,Sri Murali Krishna Industrial Training Centre,Gopalapatnam,srimuralikrishnaiti@gmail.com,9985162159,FITTER (NSQF) | ELECTRICIAN (NSQF)
andhra pradesh,Visakha Industrial Training Centre,Murali Nagar Industrial Estate Madhavadhara,kotisrinu21@gmail.com,9177780965,ELECTRICIAN (NSQF) | FITTER (NSQF)
andhra pradesh,Arsha Bharti Educational Society ITC,Bhemmunipatanam,abesiti@gmail.com,9849672054,FITTER (NSQF) | WELDER (NSQF) | DRAUGHTSMAN (CIVIL) (NSQF) | MECHANIC DIESEL (NSQF)
andhra pradesh,Sri Satya Industrial Training Centre,Patta Bhiramireddy Garden Near Madhavadara Industrial Estate,tnagulapalli@gmail.com,6304953124,FITTER (NSQF) | ELECTRICIAN (NSQF)
andhra pradesh,Hori Priya Vizag Industrial Training Centre,"49-48-23, N.G.O s Colony Akkayyapalem",horipriyaitc@gmail.com,9849577292,FITTER (NSQF) | DRAUGHTSMAN (CIVIL) (NSQF) | ELECTRICIAN (NSQF)
andhra pradesh,Bharat Industrial Training Centre,"4-246, Bharat Nagar, Kurmannapalem, Vadlapudi Post",bharatitcvizag@gmail.com,9441969712,ELECTRICIAN (NSQF) | DRAUGHTSMAN (CIVIL) (NSQF) | WELDER (NSQF) | PLUMBER (NSQF) | FITTER (NSQF) | MECHANIC DIESEL (NSQF)
andhra pradesh,Sri Siva Sai Private Iti,"8-136, Near ILTD Company, Throvagunta, ONGOLE",srisivasaiitiongole@gmail.com,8885183359,FITTER (NSQF) | ELECTRICIAN (NSQF)
andhra pradesh,JESUS DOGGA PRIVATE ITI,"Christ center, Gangubudi Village, L.Kota (Mandal), Vizianagaram",jeevanvanapalli@gmail.com,9381348810,PAINTER GENERAL (NSQF) | DRAUGHTSMAN (CIVIL) (NSQF) | CARPENTER (NSQF) | SHEET METAL WORKER (NSQF) | FITTER (NSQF) | COMPUTER OPERATOR AND PROGRAMMING ASSISTANT (NSQF)
andhra pradesh,KSR Private ITI,"Station Road, Rayavaram, Markapuram(Md), Prakasam(Dt)",ksriti1mrkp@gmail.com,9550992992,ELECTRICIAN (NSQF) | FITTER (NSQF)
andhra pradesh,SRR Pvt. ITI,"Podalakur Road, Kothuru, SPSR Nellore",rehaman313@gmail.com,9703967967,ELECTRICIAN (NSQF) | FITTER (NSQF)
andhra pradesh,Srinivasa Vidya Parished Industrial Training Centre,Pothinamallayya Palem H.B.colony,srinivasavidyaparishaditc@gmail.com,7659000595,WELDER (NSQF) | FITTER (NSQF) | ELECTRICIAN (NSQF)
andhra pradesh,I G M Engineers ITI,Simhachalam,blraju63@gmail.com,9440371533,FITTER (NSQF) | ELECTRICIAN (NSQF) | DRAUGHTSMAN (CIVIL) (NSQF)
andhra pradesh,Sri Sarvodaya Industrial Training Centre,Santhapet Nellore,ssitc.nellore@gmail.com,9393977750,DRAUGHTSMAN (CIVIL) (NSQF) | FITTER (NSQF) | ELECTRICIAN (NSQF)
andhra pradesh,"Rayalaseema Pvt. Industrial Training Institute, Ku","80/132-e-1,Venkatadri Nagar,Kurnool",ritcknl@gmail.com,9494080861,ELECTRICIAN (NSQF) | DRAUGHTSMAN (CIVIL) (NSQF) | MECHANIC (MOTOR VEHICLE) (NSQF) | FITTER (NSQF) | ELECTRONICS MECHANIC (NSQF)
andhra pradesh,Matrix ITC,Madhavadhara Vuda Layout,satyanandarajukollabathula@gmail.com,9441596412,WELDER (NSQF) | ELECTRICIAN (NSQF) | FITTER (NSQF)
andhra pradesh,Modern ITC,"Rythu Bazar, B. C. Road, Gajuwaka",modern1151@gmail.com,9705732509,ELECTRICIAN (NSQF) | FITTER (NSQF)
andhra pradesh,"Scholars Industrial Training Centre,Guntur","6/19, Cross Road Brodipet, GUNTUR",scholarsiti@gmail.com,7989445263,MECHANIC DIESEL (NSQF) | FITTER (NSQF) | ELECTRONICS MECHANIC (NSQF) | ELECTRICIAN (NSQF)
andhra pradesh,"Siddhartha Industrial Triaining Centre,Tenali",TENALI,avularp@gmail.com,9440695514,ELECTRICIAN (NSQF) | MECHANIC DIESEL (NSQF) | FITTER (NSQF)
andhra pradesh,"Krishnaveni Pvt. Industial Training Institute, Ku","SAIGARDEN, PASUPULA",kitcitc@gmail.com,8886997744,DRAUGHTSMAN (CIVIL) (NSQF) | ELECTRICIAN (NSQF)
andhra pradesh,Technicians Private ITI,"D.No.37-10-31/1, Balaji Nagar Paltabhi Reddy Gardens,",techniciansitc@gmail.com,7675808870,FITTER (NSQF) | ELECTRICIAN (NSQF)
andhra pradesh,"Adi Pvt. Industial Training Institute, Complex Ba","Verma Complex, Near Sreenivasa Oil Mill, Peddapadu",adiitiknl@gmail.com,9948268565,MECHANIC DIESEL (NSQF) | DRAUGHTSMAN (CIVIL) (NSQF) | ELECTRICIAN (NSQF)
andhra pradesh,Central Institute of Fisheries Nautical Engg. Training Unit,Beach Road,vijaya.ethirajalu@gmail.com,9543295787,VESSEL NAVIGATOR (NSQF) | MARINE FITTER (NSQF)
