job_id,state,district,domain,nsqf_job_role,qp_code,job_type_available,local_demand_signal,active_msme_cluster,estimated_monthly_income_lpa
JOB_05729A51,Uttar Pradesh,Sitapur,Handicrafts & Leather,Leather Goods Maker / Footwear Repairer,LSS/Q2501,Fixed Monthly,High,True,19.2
JOB_DEAC901F,Uttar Pradesh,Sitapur,Plumbing & Water Works,Plumber General,PSC/Q0104,Self-Employment / Enterprise,Medium,True,11.0
JOB_0112B854,Uttar Pradesh,Sitapur,Plumbing & Water Works,Plumber General,PSC/Q0104,Self-Employment / Enterprise,Medium,True,8.4
JOB_82A5D421,Uttar Pradesh,Sitapur,Garments & Tailoring,Industrial Sewing Machine Operator,AMH/Q0301,Self-Employment / Enterprise,Low,True,11.7
JOB_9BADACE3,Uttar Pradesh,Sitapur,Plumbing & Water Works,Plumber General,PSC/Q0104,Daily Wage,Medium,False,11.8
JOB_80930F3D,Uttar Pradesh,Sitapur,Garments & Tailoring,Industrial Sewing Machine Operator,AMH/Q0301,Self-Employment / Enterprise,High,False,9.9
JOB_FA79E1F1,Uttar Pradesh,Sitapur,Plumbing & Water Works,Plumber General,PSC/Q0104,Self-Employment / Enterprise,Medium,True,23.5
JOB_533BD8FE,Uttar Pradesh,Sitapur,Artisan & Carpentry,Assistant Carpenter,CON/Q0102,Fixed Monthly,Low,True,18.8
JOB_A156FB5B,Uttar Pradesh,Sitapur,Handicrafts & Leather,Leather Goods Maker / Footwear Repairer,LSS/Q2501,Daily Wage,Medium,False,20.7
JOB_3D176DA8,Uttar Pradesh,Sitapur,Handicrafts & Leather,Leather Goods Maker / Footwear Repairer,LSS/Q2501,Self-Employment / Enterprise,High,True,18.5
JOB_451040E7,Uttar Pradesh,Sitapur,Handicrafts & Leather,Leather Goods Maker / Footwear Repairer,LSS/Q2501,Fixed Monthly,Low,False,24.8
JOB_280ED6EB,Uttar Pradesh,Sitapur,Construction,Assistant Mason,CON/Q0101,Daily Wage,Medium,False,10.1
JOB_F98ACD0C,Uttar Pradesh,Sitapur,Artisan & Carpentry,Assistant Carpenter,CON/Q0102,Self-Employment / Enterprise,Low,True,21.0
JOB_40D82E41,Uttar Pradesh,Sitapur,Agriculture & Dairy,Dairy Farmer & Animal Husbandry Assistant,AGR/Q4101,Fixed Monthly,Medium,True,10.7
JOB_9AB15395,Uttar Pradesh,Sitapur,Handicrafts & Leather,Leather Goods Maker / Footwear Repairer,LSS/Q2501,Self-Employment / Enterprise,Medium,True,11.0
JOB_66817A54,Uttar Pradesh,Sitapur,Construction,Assistant Mason,CON/Q0101,Daily Wage,Medium,False,24.1
JOB_E47C9ECB,Uttar Pradesh,Sitapur,Artisan & Carpentry,Assistant Carpenter,CON/Q0102,Self-Employment / Enterprise,Medium,False,16.9
JOB_B6CDB896,Uttar Pradesh,Sitapur,Garments & Tailoring,Industrial Sewing Machine Operator,AMH/Q0301,Fixed Monthly,Low,False,18.2
JOB_F57017E6,Uttar Pradesh,Sitapur,Plumbing & Water Works,Plumber General,PSC/Q0104,Self-Employment / Enterprise,High,True,13.1
JOB_AECCF43F,Uttar Pradesh,Sitapur,Garments & Tailoring,Industrial Sewing Machine Operator,AMH/Q0301,Daily Wage,Low,False,19.7
JOB_38CACD58,Uttar Pradesh,Sitapur,Garments & Tailoring,Industrial Sewing Machine Operator,AMH/Q0301,Fixed Monthly,High,False,10.2
JOB_73DB962A,Uttar Pradesh,Sitapur,Plumbing & Water Works,Plumber General,PSC/Q0104,Daily Wage,High,False,21.4
JOB_84F9F73C,Uttar Pradesh,Sitapur,Construction,Assistant Mason,CON/Q0101,Daily Wage,Medium,False,17.9
JOB_15D9B6EE,Uttar Pradesh,Sitapur,Artisan & Carpentry,Assistant Carpenter,CON/Q0102,Daily Wage,Low,False,12.8
JOB_AAF9E67C,Uttar Pradesh,Sitapur,Garments & Tailoring,Industrial Sewing Machine Operator,AMH/Q0301,Self-Employment / Enterprise,Medium,False,14.4
JOB_B9408858,Uttar Pradesh,Sitapur,Artisan & Carpentry,Assistant Carpenter,CON/Q0102,Self-Employment / Enterprise,High,True,11.8
JOB_4FF238E8,Uttar Pradesh,Sitapur,Construction,Assistant Mason,CON/Q0101,Self-Employment / Enterprise,Medium,False,9.8
JOB_63B529AE,Uttar Pradesh,Sitapur,Electrical & Solar,Wireman Helper,ELE/Q6001,Self-Employment / Enterprise,Medium,True,19.6
JOB_8C0C8C52,Uttar Pradesh,Sitapur,Construction,Assistant Mason,CON/Q0101,Self-Employment / Enterprise,Medium,True,20.1
JOB_E7B9BDB8,Uttar Pradesh,Sitapur,Electrical & Solar,Wireman Helper,ELE/Q6001,Fixed Monthly,Medium,True,24.0
JOB_D8768750,Uttar Pradesh,Sitapur,Handicrafts & Leather,Leather Goods Maker / Footwear Repairer,LSS/Q2501,Fixed Monthly,Medium,False,11.7
JOB_95CE2C6D,Uttar Pradesh,Sitapur,Electrical & Solar,Wireman Helper,ELE/Q6001,Daily Wage,High,False,13.1
JOB_451F7B0B,Uttar Pradesh,Sitapur,Electrical & Solar,Wireman Helper,ELE/Q6001,Fixed Monthly,Medium,True,12.9
JOB_052DFA56,Uttar Pradesh,Sitapur,Garments & Tailoring,Industrial Sewing Machine Operator,AMH/Q0301,Self-Employment / Enterprise,Medium,False,24.7
JOB_9F54DF79,Uttar Pradesh,Sitapur,Garments & Tailoring,Industrial Sewing Machine Operator,AMH/Q0301,Fixed Monthly,Low,False,24.4
JOB_03BB4EE2,Uttar Pradesh,Sitapur,Handicrafts & Leather,Leather Goods Maker / Footwear Repairer,LSS/Q2501,Self-Employment / Enterprise,Medium,False,11.0
JOB_A69B1426,Uttar Pradesh,Sitapur,Agriculture & Dairy,Dairy Farmer & Animal Husbandry Assistant,AGR/Q4101,Daily Wage,High,True,24.5
JOB_ABC0EAD6,Uttar Pradesh,Sitapur,Garments & Tailoring,Industrial Sewing Machine Operator,AMH/Q0301,Fixed Monthly,High,False,12.3
JOB_562724AE,Uttar Pradesh,Sitapur,Plumbing & Water Works,Plumber General,PSC/Q0104,Fixed Monthly,Low,False,14.9
JOB_382EE174,Uttar Pradesh,Sitapur,Construction,Assistant Mason,CON/Q0101,Daily Wage,Medium,True,21.7
JOB_E6389AD0,Uttar Pradesh,Sitapur,Handicrafts & Leather,Leather Goods Maker / Footwear Repairer,LSS/Q2501,Fixed Monthly,Medium,False,10.3
JOB_F286F770,Uttar Pradesh,Sitapur,Electrical & Solar,Wireman Helper,ELE/Q6001,Self-Employment / Enterprise,Low,False,9.8
JOB_FAB58C06,Uttar Pradesh,Sitapur,Artisan & Carpentry,Assistant Carpenter,CON/Q0102,Daily Wage,High,False,19.0
JOB_7B76533D,Uttar Pradesh,Sitapur,Artisan & Carpentry,Assistant Carpenter,CON/Q0102,Self-Employment / Enterprise,High,False,21.4
JOB_6579C41B,Uttar Pradesh,Sitapur,Garments & Tailoring,Industrial Sewing Machine Operator,AMH/Q0301,Daily Wage,Medium,False,9.2
JOB_361379B1,Uttar Pradesh,Sitapur,Artisan & Carpentry,Assistant Carpenter,CON/Q0102,Daily Wage,High,True,11.6
JOB_A7C97D3B,Uttar Pradesh,Sitapur,Plumbing & Water Works,Plumber General,PSC/Q0104,Daily Wage,Low,False,11.3
JOB_5893EEFB,Uttar Pradesh,Sitapur,Electrical & Solar,Wireman Helper,ELE/Q6001,Daily Wage,Low,False,15.2
JOB_A7F9D55B,Uttar Pradesh,Sitapur,Garments & Tailoring,Industrial Sewing Machine Operator,AMH/Q0301,Daily Wage,High,True,12.9
JOB_991D7B26,Uttar Pradesh,Sitapur,Electrical & Solar,Wireman Helper,ELE/Q6001,Daily Wage,Medium,False,17.4
JOB_8008DF81,Uttar Pradesh,Sitapur,Garments & Tailoring,Industrial Sewing Machine Operator,AMH/Q0301,Daily Wage,Medium,True,8.4
